date,area_name,road/intersection_name,traffic_volume,average_speed,travel_time_index,congestion_level,road_capacity_utilization,incident_reports,environmental_impact,public_transport_usage,traffic_signal_compliance,parking_usage,pedestrian_and_cyclist_count,weather_conditions,roadwork_and_construction_activity,pm2.5,pm10,no2,nh3,so2,co,aqi_pm2.5,aqi_pm10,aqi_no2,aqi_so2,aqi_co,overall_aqi
01-01-2022,Indiranagar,CMH Road,30825,29.37712471,1.5,100,100,1,111.65,41.9248989,91.40703846,59.98368911,100,Clear,No,43.67,134,20.28,10.98,3.41,0.91,72.40793103,122.9261745,25.35,4.2625,45.5,122.9261745
01-01-2022,Whitefield,Marathahalli Bridge,7399,54.47439821,1.039068846,28.34799386,36.39652494,0,64.798,44.66238371,61.37554084,95.4660201,189,Clear,No,30.58,74.42,15.17,12.1,3.27,0.96,500,74.42,18.9625,4.0875,48,500
01-01-2022,Koramangala,Sony World Junction,60874,43.81761039,1.5,100,100,1,171.748,32.77312315,75.54709159,63.56745159,111,Clear,No,66.35,155.68,42.9,11.75,3.26,2.54,119.2637931,137.3310067,53.38717949,4.075,106.5139241,137.3310067
01-01-2022,Koramangala,Sarjapur Road,57292,41.11676289,1.5,100,100,3,164.584,35.092601,64.63476238,93.15517129,104,Clear,No,48,99.13,18.56,9.79,2.95,1.14,79.72413793,99.13,23.2,3.6875,53.17777778,99.13
01-01-2022,M.G. Road,Trinity Circle,47848,34.24196255,1.5,100,100,3,145.696,39.92787129,61.01676507,55.39457135,94,Overcast,No,23.75,63.34,17.21,7.4,2.82,1.08,39.58333333,63.34,21.5125,3.525,500,500
01-01-2022,M.G. Road,Anil Kumble Circle,36574,29.98242956,1.5,100,100,3,123.148,72.47912989,81.57368968,90.37200776,115,Clear,No,24.67,72,17.2,7.66,2.97,0.98,41.11666667,72,21.5,3.7125,49,72
01-01-2022,Jayanagar,Jayanagar 4th Block,25379,38.45517944,1.5,79.03882288,100,2,100.758,46.31534352,88.12075836,68.18148012,92,Clear,No,34.18,79.06,18.16,9.35,2.99,0.99,56.37310345,79.06,22.7,3.7375,49.5,79.06
01-01-2022,Jayanagar,South End Circle,25022,35.03937304,1.5,78.97959595,100,1,100.044,44.26169322,99.42601816,62.10276358,105,Clear,No,41.61,98,21.49,11.21,2.98,1.11,68.92724138,98,26.8625,3.725,51.54444444,98
01-01-2022,Hebbal,Hebbal Flyover,31760,56.90455626,1.5,97.67246207,100,1,113.52,12.85425991,83.63571773,83.87821809,91,Clear,No,38.95,97.7,19.77,12.8,3.34,0.97,64.43275862,97.7,24.7125,4.175,48.5,97.7
01-01-2022,Hebbal,Ballari Road,38446,26.14487626,1.5,100,100,3,126.892,48.86405681,81.18602313,62.09261455,84,Overcast,No,34.05,77.56,21.34,12.08,3.07,1.01,56.15344828,77.56,26.675,3.8375,500,500
01-01-2022,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673,1.35483457,55.74084425,76.63531646,0,80.086,21.31400999,95.94216754,80.32145298,105,Clear,No,39.12,75.93,17.88,16.07,2.96,0.96,64.72,75.93,22.35,3.7,48,75.93
02-01-2022,M.G. Road,Trinity Circle,53217,37.57207491,1.5,100,100,5,156.434,33.65966098,75.02331811,54.69909699,102,Clear,No,38,93,45.15,11.95,3.95,0.68,62.82758621,93,56.21410256,4.9375,34,93
02-01-2022,M.G. Road,Anil Kumble Circle,37584,45.88950597,1.5,100,100,2,125.168,15.97432255,62.06726885,76.56773158,101,Fog,No,42.96,112.6,30.73,14.73,3.2,1.38,71.20827586,108.7073826,38.4125,4,66.24444444,108.7073826
02-01-2022,Jayanagar,Jayanagar 4th Block,16676,53.52433335,1.175588568,47.15579429,78.63350743,2,83.352,38.62670611,66.9317728,57.82185213,92,Fog,No,26.8,59,16.92,11.34,3.18,1.02,44.66666667,59,21.15,3.975,500,500
02-01-2022,Jayanagar,South End Circle,37509,51.51350986,1.5,100,100,1,125.018,63.04922773,60.57573955,55.80363203,76,Overcast,No,22.19,56.56,12.35,8.4,3.19,0.97,36.98333333,56.56,15.4375,3.9875,48.5,56.56
02-01-2022,Hebbal,Hebbal Flyover,6758,34.75612359,1.069280748,21.20369965,32.77504734,1,63.516,13.17128068,74.98450459,81.29299579,200,Rain,No,34.24,100.22,26.62,9.03,3.23,1.1,56.47448276,500,33.275,4.0375,51,500
02-01-2022,Hebbal,Ballari Road,30209,31.14686403,1.5,100,100,2,110.418,48.19317525,97.65859235,69.30513189,90,Clear,Yes,37.5,102.51,33.74,9.73,3.25,1.16,61.98275862,102.0032886,42.175,4.0625,54.26666667,102.0032886
02-01-2022,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065,1.337950124,58.38210538,100,0,90.75,18.27153793,87.86948661,81.44714234,113,Overcast,No,34.48,86.75,26.2,9.86,3.22,1.11,56.88,86.75,32.75,4.025,51.54444444,86.75
02-01-2022,Yeshwanthpur,Tumkur Road,15636,32.79429896,1.310565184,48.93607081,82.48757326,1,81.272,62.56097475,90.18171496,55.15619344,115,Overcast,No,46.65,98.18,20.54,9.95,3.19,1.09,77.44310345,98.18,25.675,3.9875,500,500
03-01-2022,Indiranagar,100 Feet Road,23457,38.86905317,1.380024787,87.20214294,100,2,96.914,33.00651818,86.90073824,87.61872647,109,Clear,No,38.05,96.7,40.46,8.42,2.87,1.16,62.91206897,96.7,500,3.5875,54.26666667,500
03-01-2022,Indiranagar,CMH Road,38925,33.52942618,1.5,100,100,1,127.85,53.27526443,64.04490704,54.20534031,106,Overcast,No,48.78,112.69,41.56,9.77,2.86,1.26,81.04206897,108.7671812,51.70358974,3.575,59.71111111,108.7671812
03-01-2022,Whitefield,Marathahalli Bridge,9154,40.22618269,1.378899431,40.23335461,48.30378185,0,68.308,15.84505017,91.08587664,77.92021249,197,Clear,No,51.86,111.57,41.8,12.05,2.81,1.29,86.2462069,108.0230201,52.00512821,3.5125,61.34444444,108.0230201
03-01-2022,Whitefield,ITPL Main Road,24968,36.72769056,1.298417952,84.89404197,100,1,99.936,70.80193897,68.94383354,98.16112697,82,Windy,No,74.23,169.38,48.11,15.29,2.88,1.97,146.1644828,146.4336913,59.93307692,3.6,98.36666667,146.4336913
03-01-2022,Koramangala,Sony World Junction,51459,27.32652437,1.5,100,100,0,152.918,29.66742327,98.01645936,94.51318919,99,Clear,No,61.95,162.59,53.65,12.5,2.89,1.62,104.2431034,141.9222148,66.89358974,3.6125,79.31111111,141.9222148
03-01-2022,Koramangala,Sarjapur Road,28481,36.50393786,1.5,100,100,2,106.962,66.96565138,87.3892469,58.13084697,116,Overcast,No,59.67,140.87,40.89,12.73,2.78,1.39,99.44241379,127.4908054,500,3.475,66.78888889,500
03-01-2022,Jayanagar,Jayanagar 4th Block,10179,40.30824348,1.394910452,26.93833782,51.83630715,0,70.358,77.89400785,93.68475693,91.91643524,199,Clear,Yes,72.46,191.19,63.83,13.42,2.83,1.93,140.122069,160.9248993,79.68384615,3.5375,96.18888889,160.9248993
04-01-2022,Indiranagar,100 Feet Road,46199,41.22849932,1.5,100,100,2,142.398,57.01904791,84.72512962,67.9081359,86,Clear,No,53.61,133.86,33.53,12.63,2.91,1.31,89.20310345,122.8331544,41.9125,3.6375,62.43333333,122.8331544
04-01-2022,Indiranagar,CMH Road,56242,52.55340842,1.5,100,100,0,162.484,12.01478734,90.20549023,81.01547757,106,Clear,Yes,57.62,112.99,16.11,12.28,3.17,0.99,95.97862069,108.9665101,20.1375,3.9625,49.5,108.9665101
04-01-2022,Whitefield,Marathahalli Bridge,20450,24.60767822,1.361663478,65.13177601,100,1,90.9,53.54606902,94.49454835,97.47603118,100,Clear,No,41.16,82,11.26,9.53,2.82,0.9,68.16689655,82,14.075,3.525,45,82
04-01-2022,Whitefield,ITPL Main Road,13391,51.69672549,1.030345331,37.2142611,63.23545839,0,76.782,19.71790209,85.63498979,59.09400422,194,Clear,No,36.32,89.84,26.36,8.44,2.73,1.06,59.98896552,89.84,32.95,3.4125,500,500
04-01-2022,Koramangala,Sony World Junction,28369,29.40974507,1.5,86.33738401,100,1,106.738,35.49889027,80.13669083,84.51974143,104,Overcast,No,34.42,90.27,20.24,8.8,2.58,1.06,56.77862069,90.27,25.3,3.225,500,500
04-01-2022,Koramangala,Sarjapur Road,31228,42.5750771,1.5,97.78375372,100,2,112.456,35.82395477,78.50138865,87.37354691,73,Fog,No,34.2,82.97,19.62,8.91,2.66,1.04,56.40689655,82.97,24.525,3.325,500,500
04-01-2022,M.G. Road,Trinity Circle,34180,37.03463636,1.5,100,100,0,118.36,32.54554159,68.45792028,66.37486761,103,Fog,No,45.36,101.46,30.66,9.39,2.62,1.28,75.26344828,101.3056376,38.325,3.275,60.8,101.3056376
04-01-2022,M.G. Road,Anil Kumble Circle,43569,40.38910044,1.5,100,100,1,137.138,55.21420689,82.83113219,67.80483629,92,Clear,No,60.29,132.17,35.42,10.61,2.87,1.29,500,121.7102685,44.275,3.5875,61.34444444,500
04-01-2022,Jayanagar,Jayanagar 4th Block,16342,39.54830801,1.35870617,46.07800825,81.9551139,0,82.684,78.76650318,64.48155609,69.89277995,110,Clear,No,56.24,133.18,33.64,10.11,2.66,1.38,93.64689655,122.3813423,42.05,3.325,66.24444444,122.3813423
04-01-2022,Yeshwanthpur,Yeshwanthpur Circle,19306,34.97953276,1.170174575,64.50554091,93.95409732,0,88.612,52.74340297,71.54522213,79.06191107,88,Clear,Yes,42.09,85.5,15.75,9.15,2.91,0.96,69.73827586,85.5,19.6875,3.6375,48,85.5
04-01-2022,Yeshwanthpur,Tumkur Road,16012,39.2310813,1.101856262,57.00338778,82.6622786,0,82.024,43.0103332,76.47363657,67.44341333,118,Windy,No,36.13,84.37,17.08,8.11,2.66,1.02,59.66793103,84.37,21.35,3.325,500,500
05-01-2022,Indiranagar,100 Feet Road,49952,50.80134095,1.5,100,100,2,149.904,21.49860586,92.58298881,83.25986103,101,Overcast,No,38,95.19,26.81,7.61,2.66,1.09,62.82758621,95.19,33.5125,3.325,500,500
05-01-2022,Indiranagar,CMH Road,33970,20,1.5,100,100,1,117.94,72.97022013,75.35564885,77.17764306,116,Clear,No,37.86,85.53,21.52,7.51,2.67,1.02,62.59103448,85.53,26.9,3.3375,500,500
05-01-2022,Whitefield,ITPL Main Road,17018,57.47327055,1.213384437,64.60451833,87.97597211,0,84.036,31.82054475,69.93956559,87.19731463,108,Clear,No,39.13,100.44,39.89,7.81,2.75,1.28,64.73689655,500,49.8625,3.4375,60.8,500
